ARID1A	ENST00000324856
DPYD	ENST00000370192
NRAS	ENST00000369535
TPM3	ENST00000368530
NTRK1	ENST00000524377
H3F3A	ENST00000366815
ALK	ENST00000389048
EML4	ENST00000318522
PIK3CA	ENST00000263967
SLC34A2	ENST00000382051
PDGFRA	ENST00000257290
KIT	ENST00000288135
CD74	ENST00000353334
ROS1	ENST00000368508
ESR1	ENST00000206249
EZR	ENST00000367075
EGFR	ENST00000275493
MET	ENST00000397752
KIAA1549	ENST00000440172
BRAF	ENST00000288602
CDKN2A	ENST00000304494
NTRK2	ENST00000376214
KIF5B	ENST00000302418
RET	ENST00000355710
CCDC6	ENST00000263102
PTEN	ENST00000371953
HRAS	ENST00000451590
KRAS	ENST00000256078
BRCA2	ENST00000544455
NTRK3	ENST00000360948
TP53	ENST00000269305
ERBB2	ENST00000540147
BRCA1	ENST00000357654
SDC4	ENST00000372733
AR	ENST00000374690
ATRX	ENST00000373344
ATRX	XM_005262158.1

