AR	NM_000044.4
ATRX	NM_000489.4
BRAF	NM_004333.4
BRCA1	NM_007294.3
BRCA2	NM_000059.3
CDKN2A	NM_000077.4
DPYD	NM_000110.3
EGFR	NM_005228.3
EML4	NM_019063.4
ERBB2	NM_004448.3
ESR1	NM_000125.3
H3F3A	NM_002107.4
HRAS	NM_005343.3
IDH1	NM_005896.3
IDH2	NM_002168.3
KIT	NM_000222.2
KRAS	NM_004985.4
MET	NM_001127500.1
NRAS	NM_002524.3
NTRK1	NM_001007792.1
PDGFRA	NM_006206.4
PIK3CA	NM_006218.2
PTEN	NM_000314.4
RET	NM_020975.4
ROS1	NM_002944.2
TERT	NM_198253.2
TP53	NM_000546.5
ARID1A	NM_006015.5
ALK	NM_004304.3
NTRK2	NM_006180.4
NTRK3	NM_0010123382
KIF5B	NM_004521.2
CD74	NM_001025159.2
SLC34A2	NM_006424.2
EZR	NM_001111077.1
SDC4	NM_002999.3
TPM3	NM_152263.2
CCDC6	NM_005436.4
